Gene ID	FPKM_NP1071_GTGGCC_R1
ENSMUSG00000094114	7.25663
ENSMUSG00000029135	12.4593
ENSMUSG00000028341	8.6338
ENSMUSG00000097206	2.69698
ENSMUSG00000073125	1.24141
ENSMUSG00000092267	31.2652
ENSMUSG00000053399	0.317944
ENSMUSG00000055485	2.60404
ENSMUSG00000056749	6.36183
ENSMUSG00000092341	272.173
ENSMUSG00000028268	1.0614
ENSMUSG00000048482	9.36542
ENSMUSG00000092490	0.242476
ENSMUSG00000021057	18.4483
ENSMUSG00000023034	43.5315
ENSMUSG00000028527	19.6778
ENSMUSG00000026826	9.46661
ENSMUSG00000036403	1.23078
ENSMUSG00000024427	3.89622
ENSMUSG00000067344	12.7818
ENSMUSG00000034765	6.15221
ENSMUSG00000021250	22.4725
ENSMUSG00000089417	20.9194
ENSMUSG00000050503	0.979272
ENSMUSG00000048191	0.468526
ENSMUSG00000098462	0
ENSMUSG00000002325	3.41851
ENSMUSG00000002688	1.75856
ENSMUSG00000093467	0.43999
ENSMUSG00000006445	0.368733
ENSMUSG00000020893	26.5001
ENSMUSG00000031491	0.251661
ENSMUSG00000084915	2.4415
ENSMUSG00000029561	1.50352
ENSMUSG00000052188	22.7338
ENSMUSG00000040724	10.3426
ENSMUSG00000089544	0.615171
ENSMUSG00000097857	0.0464443
ENSMUSG00000090194	0.229098
ENSMUSG00000031538	11.6812
ENSMUSG00000052222	0.272661
ENSMUSG00000053310	1327.16
ENSMUSG00000096935	16.6265
ENSMUSG00000040721	7.13887
ENSMUSG00000001751	2.36583
ENSMUSG00000043614	14.0777
ENSMUSG00000047473	3.84453
ENSMUSG00000075232	17.5318
ENSMUSG00000089940	0.316972
ENSMUSG00000044139	1.63377
ENSMUSG00000024042	3.54947
ENSMUSG00000036432	5.31826
ENSMUSG00000058806	0.534235
ENSMUSG00000032446	0
ENSMUSG00000025270	0.704611
ENSMUSG00000040165	1.937
ENSMUSG00000093452	2.88977
ENSMUSG00000020218	0.486947
ENSMUSG00000040938	16.1647
ENSMUSG00000036093	14.1906
ENSMUSG00000082536	11.7302
ENSMUSG00000043259	12.0584
ENSMUSG00000049692	0.206331
ENSMUSG00000074178	3.30357
ENSMUSG00000091089	0.560663
ENSMUSG00000099227	2.44436
ENSMUSG00000059824	19.3063
ENSMUSG00000061331	20.884
ENSMUSG00000030921	0.529637
ENSMUSG00000055368	0
ENSMUSG00000027944	29.8587
ENSMUSG00000090546	22.6632
ENSMUSG00000020623	3.18041
ENSMUSG00000045193	34.7486
ENSMUSG00000053560	5.89303
ENSMUSG00000029833	5.72275
ENSMUSG00000080316	16.1524
ENSMUSG00000047507	1.56419
ENSMUSG00000063623	0.252085
ENSMUSG00000097578	1.33486
